filename,frame_id,ok,error,n_points,file_bytes,min_x,min_y,min_z,max_x,max_y,max_z,centroid_x,centroid_y,centroid_z,extent_x,extent_y,extent_z,centroid_dist_to_origin,mean_dist_to_origin,approx_radius
cloud_world_000005_1769045873_957.ply,5,True,,1024,38051,0.0033030000049620867,0.06015399843454361,0.028433000668883324,0.0956059992313385,0.23468400537967682,0.11392199993133545,0.048263050615787506,0.15056096017360687,0.0679747611284256,0.09230300039052963,0.1745299994945526,0.08548899739980698,0.1721002459526062,0.1761883795261383,0.09638743847608566
cloud_world_000006_1769045874_059.ply,6,True,,1024,38051,0.003126000054180622,0.059870000928640366,0.028189999982714653,0.09563300013542175,0.23441000282764435,0.11350999772548676,0.04824361577630043,0.1502785086631775,0.06770628690719604,0.09250699728727341,0.17453999817371368,0.08531999588012695,0.17174170911312103,0.17584484815597534,0.09638811647891998
cloud_world_000007_1769045874_124.ply,7,True,,1024,38051,0.0038799999747425318,0.059891000390052795,0.028551999479532242,0.09575299918651581,0.2348880022764206,0.11352299898862839,0.04848664626479149,0.1506403535604477,0.06800927221775055,0.09187299758195877,0.1749970018863678,0.08497099578380585,0.17224614322185516,0.17636340856552124,0.09638790786266327
cloud_world_000008_1769045874_186.ply,8,True,,1024,38051,0.003148999996483326,0.05943100154399872,0.028150999918580055,0.09525500237941742,0.23430199921131134,0.11319199949502945,0.04793792963027954,0.15008684992790222,0.06761515140533447,0.09210599958896637,0.17487099766731262,0.08504100143909454,0.1714523732662201,0.17558035254478455,0.09638779610395432
cloud_world_000009_1769045874_250.ply,9,True,,1024,38051,0.002583000110462308,0.05996499955654144,0.028234999626874924,0.09552299976348877,0.234266996383667,0.1136230006814003,0.04805181547999382,0.1501937061548233,0.06776827573776245,0.09294000267982483,0.17430199682712555,0.08538800477981567,0.17163819074630737,0.17573779821395874,0.09638809412717819
cloud_world_000010_1769045874_314.ply,10,True,,1024,38051,0.0023189999628812075,0.060141999274492264,0.02835799939930439,0.09550300240516663,0.2346320003271103,0.11304900050163269,0.0480010099709034,0.1504940241575241,0.067812979221344,0.09318400174379349,0.17449000477790833,0.08469100296497345,0.17190447449684143,0.17603522539138794,0.09638740867376328
cloud_world_000011_1769045874_380.ply,11,True,,1024,38051,0.0028899998869746923,0.0603800006210804,0.028449999168515205,0.09573899954557419,0.23471499979496002,0.11394199728965759,0.04826420918107033,0.15064580738544464,0.06798223406076431,0.092849001288414,0.17433500289916992,0.08549199998378754,0.1721777468919754,0.17625698447227478,0.09638771414756775
cloud_world_000012_1769045874_443.ply,12,True,,1024,38051,0.0025569999124854803,0.059620000422000885,0.028147000819444656,0.095490001142025,0.23405499756336212,0.11345800012350082,0.047982312738895416,0.14996376633644104,0.06764909625053406,0.09293299913406372,0.17443498969078064,0.08531099557876587,0.17137044668197632,0.17547725141048431,0.09638786315917969
cloud_world_000013_1769045874_505.ply,13,True,,1024,38051,0.0026809999253600836,0.06000399962067604,0.02805900014936924,0.09541799873113632,0.2343980073928833,0.11334499716758728,0.04801478981971741,0.15029367804527283,0.06759794801473618,0.09273699671030045,0.17439401149749756,0.08528599888086319,0.17164815962314606,0.1757536679506302,0.09638775885105133
cloud_world_000014_1769045874_567.ply,14,True,,1024,38051,0.003226999891921878,0.05976499989628792,0.027840999886393547,0.09512200206518173,0.23449000716209412,0.1129089966416359,0.04796777293086052,0.15029239654541016,0.06740369647741318,0.09189499914646149,0.1747250109910965,0.0850679948925972,0.1715574860572815,0.17568419873714447,0.09638809412717819
cloud_world_000015_1769045874_628.ply,15,True,,1024,38051,0.002781999995931983,0.05966399982571602,0.027594000101089478,0.09503400325775146,0.23410800099372864,0.11291000247001648,0.04780936613678932,0.1499837040901184,0.06717841327190399,0.09225200116634369,0.17444400489330292,0.085316002368927,0.17115427553653717,0.17527279257774353,0.0963873490691185
cloud_world_000016_1769045874_690.ply,16,True,,1024,38051,0.0036279999185353518,0.05984799936413765,0.028031999245285988,0.09542299807071686,0.23464199900627136,0.11310400068759918,0.04827408492565155,0.15042828023433685,0.06758438795804977,0.09179499745368958,0.174794003367424,0.08507200330495834,0.1718333512544632,0.17595598101615906,0.09638711810112
cloud_world_000017_1769045874_752.ply,17,True,,1024,38051,0.0028959999326616526,0.06001399829983711,0.02818799950182438,0.09514199942350388,0.23463700711727142,0.11308299750089645,0.047932837158441544,0.15046294033527374,0.06775093078613281,0.09224599599838257,0.1746230125427246,0.08489499986171722,0.17183376848697662,0.17596444487571716,0.09638796001672745
cloud_world_000018_1769045874_818.ply,18,True,,1024,38051,0.0034030000679194927,0.05973999947309494,0.027900999411940575,0.09506600350141525,0.2346619963645935,0.11256600171327591,0.04802640154957771,0.1504131555557251,0.06750249862670898,0.09166300296783447,0.17492198944091797,0.08466500043869019,0.17171849310398102,0.17587317526340485,0.09638747572898865
cloud_world_000019_1769045874_886.ply,19,True,,1024,38051,0.003826000029221177,0.05987099930644035,0.027310000732541084,0.09478200227022171,0.23434500396251678,0.11304499953985214,0.04806436970829964,0.15020951628684998,0.06717978417873383,0.09095600247383118,0.17447400093078613,0.08573500066995621,0.1714240461587906,0.17553147673606873,0.09638725966215134
cloud_world_000020_1769045874_951.ply,20,True,,1024,38051,0.004519999958574772,0.05972199887037277,0.027600999921560287,0.09476199746131897,0.23466700315475464,0.11315400153398514,0.048118237406015396,0.1504134088754654,0.06734942644834518,0.09024199843406677,0.17494499683380127,0.08555300533771515,0.17168430984020233,0.17579984664916992,0.09638803452253342
cloud_world_000021_1769045875_015.ply,21,True,,1024,38051,0.004393999930471182,0.059728000313043594,0.027828000485897064,0.09507899731397629,0.23451100289821625,0.11335500329732895,0.04833491891622543,0.1502976268529892,0.06756053119897842,0.09068499505519867,0.17478300631046295,0.08552700281143188,0.17172671854496002,0.1758420169353485,0.09638771414756775
cloud_world_000022_1769045875_078.ply,22,True,,1024,38051,0.0033939999993890524,0.05971900001168251,0.027536999434232712,0.09466499835252762,0.23409900069236755,0.11340700089931488,0.0477784238755703,0.14999175071716309,0.06725819408893585,0.09127099812030792,0.17438000440597534,0.08586999773979187,0.1711840182542801,0.17528359591960907,0.0963873341679573
cloud_world_000023_1769045875_155.ply,23,True,,1024,38051,0.005253000184893608,0.06036499887704849,0.027675999328494072,0.09530500322580338,0.2352519929409027,0.11341799795627594,0.04874268174171448,0.15101294219493866,0.06750387698411942,0.09005200117826462,0.17488700151443481,0.08574199676513672,0.17244572937488556,0.17653582990169525,0.09638779610395432
cloud_world_000024_1769045875_215.ply,24,True,,1024,38051,0.011952999979257584,0.058228999376297,0.024956999346613884,0.09416300058364868,0.2340019941329956,0.11438699811697006,0.049379125237464905,0.1495516151189804,0.06682553142309189,0.0822100043296814,0.1757729947566986,0.08942999690771103,0.1710837036371231,0.17523260414600372,0.09638781100511551
cloud_world_000025_1769045875_281.ply,25,True,,1024,38051,0.015220999717712402,0.058903999626636505,0.01948699913918972,0.09509699791669846,0.2324559986591339,0.11370600014925003,0.050686463713645935,0.14851345121860504,0.06477455794811249,0.07987599819898605,0.173552006483078,0.09421899914741516,0.16976779699325562,0.17384639382362366,0.09638749808073044
cloud_world_000026_1769045875_345.ply,26,True,,1024,38051,0.01588599942624569,0.06263600289821625,0.010652000084519386,0.09401100128889084,0.2332800030708313,0.11467199772596359,0.05077200010418892,0.15037353336811066,0.06311418116092682,0.078125,0.17064400017261505,0.10401999950408936,0.17080222070217133,0.17484387755393982,0.09638801217079163
cloud_world_000027_1769045875_407.ply,27,True,,1024,38051,0.014481999911367893,0.06400199979543686,0.006806999910622835,0.09506700187921524,0.23443500697612762,0.11332099884748459,0.055077455937862396,0.15165935456752777,0.06222546845674515,0.08058500289916992,0.17043301463127136,0.10651399940252304,0.17293378710746765,0.17750638723373413,0.09638791531324387
cloud_world_000028_1769045875_488.ply,28,True,,1024,38051,0.011219000443816185,0.06027799844741821,0.02125599980354309,0.09914100170135498,0.23393400013446808,0.11556600034236908,0.05839342623949051,0.15036949515342712,0.06721998006105423,0.08792199939489365,0.17365600168704987,0.09431000053882599,0.17475497722625732,0.18020331859588623,0.09638800472021103
cloud_world_000029_1769045875_551.ply,29,True,,1024,38051,0.009088000282645226,0.06038599833846092,0.019878000020980835,0.09954199939966202,0.23278400301933289,0.11492499709129333,0.05761675909161568,0.14982572197914124,0.06638540327548981,0.09045399725437164,0.17239800095558167,0.0950469970703125,0.173707976937294,0.1793213039636612,0.09638775140047073
cloud_world_000030_1769045875_613.ply,30,True,,1024,38051,0.007672999985516071,0.0609779991209507,0.01925799995660782,0.10002300143241882,0.23242199420928955,0.11479400098323822,0.05724449083209038,0.14991503953933716,0.06614266335964203,0.09234999865293503,0.17144399881362915,0.0955360010266304,0.17356930673122406,0.17927013337612152,0.0963883101940155
cloud_world_000031_1769045875_697.ply,31,True,,1024,38051,0.007031000219285488,0.056689999997615814,0.02523599937558174,0.0983780026435852,0.23096999526023865,0.11724600195884705,0.05596978962421417,0.14787080883979797,0.06947515904903412,0.09134700149297714,0.17427998781204224,0.0920100063085556,0.1726997047662735,0.17849133908748627,0.09638787060976028
